o11,#genre#
凤凰中文,https://o11.163189.xyz/stream/live/fhzw/
凤凰资讯,https://o11.163189.xyz/stream/live/fhzx/
天映,https://o11.163189.xyz/stream/live/typd/
天映经典,https://o11.163189.xyz/stream/live/ccm/
千禧经典,https://o11.163189.xyz/stream/live/tvbc/
TVB PLUS(多音轨字幕),https://o11.163189.xyz/stream/tvb/tvbp/
明珠台(多音轨字幕),https://o11.163189.xyz/stream/tvb/mzt/
翡翠台4K(多音轨字幕),https://o11.163189.xyz/stream/tvb/fct4k/
翡翠台(多音轨字幕),https://o11.163189.xyz/stream/tvb/fct/
华丽翡翠台(多音轨字幕),https://o11.163189.xyz/stream/live/hlt/
华丽翡翠台(新加坡),https://o11.163189.xyz/stream/live/jade/
Astro AOD(多音轨字幕),https://o11.163189.xyz/stream/live/aod/
Astro AEC(多音轨字幕),https://o11.163189.xyz/stream/live/aec/
Astro QJ(多音轨字幕),https://o11.163189.xyz/stream/live/qj/
Astro欢喜台,https://o11.163189.xyz/stream/live/hxt/
TVB星河(多音轨字幕),https://o11.163189.xyz/stream/live/tvbxh/
爱奇艺,https://o11.163189.xyz/stream/live/iqiyi/
黄金华剧,https://o11.163189.xyz/stream/tvb/hjhjt/

jdshipin,#genre#
凤凰中文,http://r.jdshipin.com/cCCzW
凤凰资讯,http://r.jdshipin.com/0Rp07
凤凰香港,http://r.jdshipin.com/yDoTN
ViuTV,http://r.jdshipin.com/vSJvl
无线新闻,http://r.jdshipin.com/CkuBd
翡翠台,http://r.jdshipin.com/GeWKr
翡翠台,http://r.jdshipin.com/GeWKr?id=fct406
翡翠台,http://r.jdshipin.com/GeWKr?id=fct720
翡翠台,http://r.jdshipin.com/62WM7
翡翠台,http://r.jdshipin.com/n90gt
翡翠台,http://r.jdshipin.com/qClQf
翡翠台,http://r.jdshipin.com/qrfbg
华丽翡翠台,http://r.jdshipin.com/thuYX
明珠台,http://r.jdshipin.com/ZQ4kN
TVB明珠台,http://r.jdshipin.com/jUx8K
TVB星河,http://r.jdshipin.com/Voac4
TVB星河,http://r.jdshipin.com/sXuuD
TVBPlus,http://r.jdshipin.com/Nr5jq
TVBPlus,http://r.jdshipin.com/ndGgS
广东体育,http://r.jdshipin.com/LiYdg
广东珠江,http://r.jdshipin.com/sE5vO
广州综合,http://r.jdshipin.com/iR6Gq
广州综合,http://r.jdshipin.com/snhya
Hoy77,http://r.jdshipin.com/sFw4S
澳视澳门,http://r.jdshipin.com/n2YZI

cdn,#genre#
凤凰中文,http://cdn6.163189.xyz/163189/fhzw
凤凰资讯,http://cdn6.163189.xyz/163189/fhzx
凤凰香港,http://cdn6.163189.xyz/163189/fhhk
澳视卫星,http://cdn6.163189.xyz/163189/as
澳视澳门,http://cdn6.163189.xyz/163189/asam
澳门体育,http://cdn6.163189.xyz/163189/amty
澳门综艺,http://cdn6.163189.xyz/163189/amzy
澳门莲花,http://cdn6.163189.xyz/163189/amlh
翡翠台,https://cdn6.163189.xyz/163189/fct
翡翠台4K,https://cdn6.163189.xyz/163189/fct4k
明珠台,https://cdn6.163189.xyz/163189/mzt
星河,https://cdn6.163189.xyz/163189/tvbxh
TVB1,https://cdn6.163189.xyz/163189/tvb1
TVBJ1,https://cdn6.163189.xyz/163189/j1
TVBPLUS,http://cdn6.163189.xyz/163189/tvbp
翡翠剧集,http://cdn6.163189.xyz/163189/tvbd
华丽翡翠,http://cdn6.163189.xyz/163189/hlfct
亚洲武侠,https://cdn6.163189.xyz/163189/yzwx
HOY77,http://cdn6.163189.xyz/163189/hoy
无线新闻,http://cdn6.163189.xyz/163189/wxxw
TVB娱乐新闻,http://cdn6.163189.xyz/163189/ylxw
now新闻,https://cdn.163189.xyz/163189/now
ViuTV,https://cdn.163189.xyz/163189/viu
ViuTVsix,https://cdn.163189.xyz/163189/viu6
RTHK31,https://cdn.163189.xyz/163189/rthk31
RTHK32,https://cdn.163189.xyz/163189/rthk32
HOY77,http://cdn.163189.xyz/163189/hoy
HOY资讯台,http://cdn.163189.xyz/163189/hoy78
HOY剧集台,http://cdn.163189.xyz/163189/hoyjj
八度空間,http://cdn6.163189.xyz/163189/8tv
